species	contig_n50	scaffold_n50	total_length	status	ass_accession	ass_release_date
Anelosimus studiosus	1132	4793	2033432615	Scaffold	GCA_008297655.1	2019/09/05
Heliconius melpomene	1132	1323	267031756	Scaffold	GCA_900068675.1	2018/05/22
Condylostylus patibulatus	1110	2239	451941653	Scaffold	GCA_001014875.1	2015/05/28
Heliconius melpomene	1102	1474	274242794	Scaffold	GCA_900068495.1	2018/05/22
Cotesia vestalis	1100	1100	131999552	Contig	GCA_001675545.1	2016/06/23
Calliphora vicina	1086	2418	459231066	Scaffold	GCA_001017275.1	2015/06/01
Sarcophagidae sp. BV-2014	1035	1715	494580772	Scaffold	GCA_001047195.1	2015/07/07
Heliconius cydno	1023	1115	318747250	Scaffold	GCA_900068265.1	2018/05/22
Neuroterus quercusbaccarum	1019	1664	2569683019	Scaffold	GCA_900490065.1	2018/12/07
Heliconius melpomene	993	1108	309465682	Scaffold	GCA_900068145.1	2018/05/22
Aedes aegypti	989	4251	744596036	Scaffold	GCA_001014885.1	2015/05/28
Heliconius cydno	988	1138	315241025	Scaffold	GCA_900068115.1	2018/05/22
Heliconius cydno	984	1135	346065684	Scaffold	GCA_900068085.1	2018/05/22
Andricus inflator	980	1665	1869313883	Scaffold	GCA_900474215.1	2018/12/07
Andricus quercusramuli	977	1138	1937566174	Scaffold	GCA_900474265.1	2018/12/07
Heliconius cydno	961	1091	220665521	Scaffold	GCA_900068295.1	2018/05/22
Megaselia scalaris	931	5716	489347612	Scaffold	GCA_000341915.2	2015/07/14
Heliconius cydno	929	1073	321115041	Scaffold	GCA_900068035.1	2018/05/22
Heliconius pachinus	927	1057	199597553	Scaffold	GCA_900068725.1	2017/04/26
Heliconius cydno	926	1066	306385191	Scaffold	GCA_900068205.1	2018/05/22
Heliconius melpomene	915	1034	233711095	Scaffold	GCA_900068635.1	2018/05/22
Heliconius melpomene	908	1005	235619602	Scaffold	GCA_900068575.1	2018/05/22
Tephritis californica	906	1969	342257700	Scaffold	GCA_001017515.1	2015/06/01
Heliconius melpomene	897	1052	309915378	Scaffold	GCA_900067995.1	2018/05/22
Heliconius melpomene	895	1122	260901828	Scaffold	GCA_900068485.1	2018/05/22
Heliconius numata	892	964	260993945	Scaffold	GCA_900068705.1	2017/04/26
Heliconius melpomene	876	982	228013940	Scaffold	GCA_900068535.1	2018/05/22
Heliconius elevatus	868	911	347388673	Scaffold	GCA_900067985.1	2017/04/26
Heliconius melpomene	868	917	318742662	Scaffold	GCA_900068195.1	2018/05/22
Trupanea jonesi	865	1424	97281263	Scaffold	GCA_001014665.1	2015/05/28
Calanus glacialis	862	862	3941106	Contig	GCA_002740985.1	2017/11/01
Laparus doris	861	1326	241555716	Scaffold	GCA_900068335.1	2017/04/26
Amphinemura sulcicollis	846	846	271924966	Contig	GCA_001676325.1	2016/06/24
Heliconius timareta	842	1044	8242904	Scaffold	GCA_001486185.1	2016/01/05
Heliconius timareta	842	933	6212956	Scaffold	GCA_001486265.1	2016/01/05
Calanus finmarchicus	836	836	3585771	Contig	GCA_002740975.1	2017/11/01
Rhipicephalus microplus	827	827	144692238	Scaffold	GCA_000181235.2	2012/12/17
Heliconius timareta	825	950	216727103	Scaffold	GCA_900068795.1	2018/05/22
Caridina multidentata	819	819	1948953281	Scaffold	GCA_002091895.1	2017/04/13
Heliconius melpomene	819	854	306503345	Scaffold	GCA_900068055.1	2018/05/22
Heliconius melpomene	816	928	240751188	Scaffold	GCA_900068645.1	2018/05/22
Heliconius melpomene	815	1055	215465877	Scaffold	GCA_900068045.1	2018/05/22
Heliconius melpomene	808	1062	225751348	Scaffold	GCA_900068695.1	2018/05/22
Heliconius hierax	807	916	210868349	Scaffold	GCA_900068475.1	2017/04/26
Andricus grossulariae	799	1511	1877197301	Scaffold	GCA_900474195.1	2018/12/07
Heliconius hecuba	789	944	212767244	Scaffold	GCA_900068455.1	2017/04/26
Portunus trituberculatus	788	857	990242492	Scaffold	GCA_008373055.1	2019/09/12
Heliconius melpomene	787	822	321678340	Scaffold	GCA_900068165.1	2018/05/22
Euroglyphus maynei	786	788	43437841	Scaffold	GCA_002135145.1	2017/05/12
Heliconius melpomene	782	892	240924322	Scaffold	GCA_900068155.1	2018/05/22
Heliconius xanthocles	781	1084	198611823	Scaffold	GCA_900068825.1	2017/05/03
Bombyx huttoni	768	878	450338996	Scaffold	GCA_002197625.1	2017/06/20
Heliconius melpomene	752	882	221669006	Scaffold	GCA_900068515.1	2018/05/22
Heliconius melpomene	747	885	238476734	Scaffold	GCA_900068215.1	2018/05/22
Heliconius melpomene	732	908	200557715	Scaffold	GCA_900068655.1	2018/05/22
Heliconius melpomene	727	960	182259827	Scaffold	GCA_900068545.1	2018/05/22
Heliconius melpomene	725	850	244808020	Scaffold	GCA_900068065.1	2018/05/22
Penaeus japonicus	700	912	1660270162	Scaffold	GCA_002291165.1	2017/09/12
Heliconius melpomene	699	809	218066150	Scaffold	GCA_900068555.1	2018/05/22
Palaemon carinicauda	696	962	6699723695	Scaffold	GCA_004011675.1	2019/01/11
Heliconius wallacei	676	713	365010054	Scaffold	GCA_900068815.1	2017/05/03
Heliconius timareta	665	685	199336618	Scaffold	GCA_900068775.1	2018/05/22
Heliconius timareta	661	737	7019868	Scaffold	GCA_001486565.1	2016/01/05
Heliconius melpomene	660	1106	157189997	Scaffold	GCA_001510935.1	2016/01/11
Drosophila sechellia	649	665	1614065	Scaffold	GCA_000525085.1	2014/01/31
Laparus doris	645	950	208688959	Scaffold	GCA_900068345.1	2017/05/03
Andricus curvator	635	1116	1713399768	Scaffold	GCA_900474205.1	2018/12/07
Heliconius melpomene	635	717	184319678	Scaffold	GCA_900068525.1	2018/05/22
Heliconius numata	629	756	6245958	Scaffold	GCA_001486725.1	2016/01/05
Heliconius cydno	621	681	185102196	Scaffold	GCA_900068255.1	2018/05/22
Drosophila simulans	615	657	12631593	Scaffold	GCA_000525065.1	2014/01/31
Tipula oleracea	600	3390	541697276	Scaffold	GCA_001017535.1	2015/06/01
Heliconius timareta	594	754	7449788	Scaffold	GCA_001486405.1	2016/01/05
Heliconius melpomene	582	649	182841427	Scaffold	GCA_900068585.1	2018/05/22
Heliconius timareta	580	748	7577626	Scaffold	GCA_001486305.1	2016/01/05
Heliconius timareta	578	763	7761920	Scaffold	GCA_001486425.1	2016/01/05
Ligia exotica	572	573	953555114	Scaffold	GCA_002091915.1	2017/04/13
Heliconius melpomene	572	622	144639982	Scaffold	GCA_900068625.1	2018/05/22
Heliconius timareta	551	693	8032310	Scaffold	GCA_001486345.1	2016/01/05
Heliconius cydno	550	726	7320420	Scaffold	GCA_001485745.1	2016/01/05
Heliconius cydno	546	683	146293788	Scaffold	GCA_900068305.1	2018/05/22
Heliconius timareta	544	689	8375146	Scaffold	GCA_001486545.1	2016/01/05
Acanthoscurria geniculata	541	20294	7178402394	Scaffold	GCA_000661875.1	2014/05/01
Pseudoneuroterus saliens	536	970	2060851172	Scaffold	GCA_900490055.1	2018/12/19
Heliconius timareta	531	685	7871073	Scaffold	GCA_001486645.1	2016/01/05
Baetis rhodani	529	529	174117300	Contig	GCA_001676355.1	2016/06/24
Heliconius timareta	522	669	8453332	Scaffold	GCA_001486365.1	2016/01/05
Cimex hemipterus	519	519	2664625	Contig	GCA_001663875.1	2016/06/16
Heliconius melpomene	512	639	157965155	Scaffold	GCA_900068685.1	2018/05/22
Apis mellifera	504	527	243566977	Scaffold	GCA_000819425.1	2015/01/16
Heliconius ismenius	504	667	8082514	Scaffold	GCA_001485725.1	2016/01/05
Heliconius timareta	502	652	8308476	Scaffold	GCA_001486705.1	2016/01/05
Heliconius numata	497	624	7865038	Scaffold	GCA_001486745.1	2016/01/05
Heliconius cydno	494	659	8416190	Scaffold	GCA_001485765.1	2016/01/05
Heliconius timareta	490	627	8616478	Scaffold	GCA_001486385.1	2016/01/05
Heliconius timareta	484	629	8811464	Scaffold	GCA_001486205.1	2016/01/05
Heliconius melpomene	469	592	147116315	Scaffold	GCA_900068565.1	2018/05/22
Heliconius timareta	460	614	8977595	Scaffold	GCA_001486485.1	2016/01/05
Isoperla grammatica	457	457	509522935	Contig	GCA_001676475.1	2016/06/24
Heliconius cydno	457	623	8809191	Scaffold	GCA_001485705.1	2016/01/05
Heliconius cydno	450	475	113860435	Scaffold	GCA_900068245.1	2018/05/22
Penaeus monodon	431	769	1447415504	Scaffold	GCA_002291185.1	2017/09/12
Heliconius cydno	427	449	63293104	Scaffold	GCA_001510915.1	2016/01/11
Heliconius cydno	411	437	90541832	Scaffold	GCA_900068285.1	2018/05/22
Eristalis dimidiata	405	2265	315428702	Scaffold	GCA_001015145.1	2015/05/29
Heliconius cydno	403	565	9533630	Scaffold	GCA_001485865.1	2016/01/05
Aedes albopictus	397	397	1341044778	Contig	GCA_001574995.1	2016/02/25
Eutreta diana	387	1675	233053157	Scaffold	GCA_001015115.1	2015/05/29
Heliconius pardalinus	353	450	9627372	Scaffold	GCA_001486605.1	2016/01/05
Diuraphis noxia	335	335	95723708	Scaffold	GCA_001938505.1	2017/01/06
Heliconius hecale	327	410	15161735	Scaffold	GCA_001486125.1	2016/01/05
Heliconius melpomene	321	377	13660772	Scaffold	GCA_001485885.1	2016/01/05
Heliconius melpomene	321	373	56289359	Scaffold	GCA_001486025.1	2016/01/05
Philaenus spumarius	319	871	1248087067	Scaffold	GCA_002233535.1	2017/07/25
Heliconius melpomene	317	361	49763067	Scaffold	GCA_001485925.1	2016/01/05
Heliconius pardalinus	315	367	24038892	Scaffold	GCA_001486285.1	2016/01/05
Heliconius melpomene	314	354	39495490	Scaffold	GCA_001486145.1	2016/01/05
Heliconius timareta	314	358	21693359	Scaffold	GCA_001486465.1	2016/01/05
Heliconius melpomene	313	362	18573445	Scaffold	GCA_001485805.1	2016/01/05
Heliconius melpomene	312	364	44095019	Scaffold	GCA_001485945.1	2016/01/05
Heliconius melpomene	312	363	19632816	Scaffold	GCA_001486005.1	2016/01/05
Heliconius melpomene	312	368	40381934	Scaffold	GCA_001486045.1	2016/01/05
Heliconius numata	311	363	12807014	Scaffold	GCA_001486245.1	2016/01/05
Heliconius elevatus	310	367	24758785	Scaffold	GCA_001486085.1	2016/01/05
Heliconius timareta	310	357	23913413	Scaffold	GCA_001486685.1	2016/01/05
Heliconius ethilla	305	356	26606777	Scaffold	GCA_001485785.1	2016/01/05
